Submission_ID	Tube_ID	Sample_ID	Type	Date_Collected	Sample_Type	gGenus	sSpecies	Group	Ploidy	PloidyGroup	RegionOrigin	CountryOrigin	Status	Comments	GenomeLineage
Autoclaved_Soil_5or3_07102017	auto soil 7/10 5(? or 3?)	Autoclaved_Soil_5or3	Auto_Soil	7/10/17	Soil	.	.	.	.	.	.	.	.	.	.
Autoclaved_Soil_66_07132017	soil auto.66 7/13	Autoclaved_Soil_66	Auto_Soil	7/13/17	Soil	.	.	.	.	.	.	.	.	.	.
Autoclaved_Soil_69_07032017	soil auto 69 7/3	Autoclaved_Soil_69	Auto_Soil	7/3/17	Soil	.	.	.	.	.	.	.	.	.	.
Autoclaved_Soil_A_06232017	soil auto 6/23	Autoclaved_Soil_A	Auto_Soil	6/23/17	Soil	.	.	.	.	.	.	.	.	.	.
Autoclaved_Soil_B_06232017	soil auto 6/23	Autoclaved_Soil_B	Auto_Soil	6/23/17	Soil	.	.	.	.	.	.	.	.	.	.
Autoclaved_Soil_C_06232017	soil auto 6/23	Autoclaved_Soil_C	Auto_Soil	6/23/17	Soil	.	.	.	.	.	.	.	.	.	.
B01_14_Root_07132017	B01.14.Root 7/13/17	B01_14_Root	B_Root	7/13/17	Root	Hordeum	Hordeum_vulgare_L_subsp_vulgare	ln	2n	Diploid	Europe	France	Cultivated	.	Outgroup
B01_14_Soil_07132017	B01 14 7/13 soil	B01_14_Soil	B_Soil	7/13/17	Soil	Hordeum	Hordeum_vulgare_L_subsp_vulgare	ln	2n	Diploid	Europe	France	Cultivated	.	Outgroup
B01_19_Rh_07132017	B01 19 7/13 Rh	B01_19_Rh	B_Rh	7/13/17	Rhizosphere	Hordeum	Hordeum_vulgare_L_subsp_vulgare	ln	2n	Diploid	Europe	France	Cultivated	.	Outgroup
B01_19_Root_07132017	B01.19.Root 7/13/17	B01_19_Root	B_Root	7/13/17	Root	Hordeum	Hordeum_vulgare_L_subsp_vulgare	ln	2n	Diploid	Europe	France	Cultivated	.	Outgroup
B01_19_Soil_07132017	B01 19 7/13 soil	B01_19_Soil	B_Soil	7/13/17	Soil	Hordeum	Hordeum_vulgare_L_subsp_vulgare	ln	2n	Diploid	Europe	France	Cultivated	.	Outgroup
B01_31_Soil_07132017	B01 31 7/13 soil	B01_31_Soil	B_Soil	7/13/17	Soil	Hordeum	Hordeum_vulgare_L_subsp_vulgare	ln	2n	Diploid	Europe	France	Cultivated	.	Outgroup
B01_37_Rh_07132017	B01 37 7/13 Rh	B01_37_Rh	B_Rh	7/13/17	Rhizosphere	Hordeum	Hordeum_vulgare_L_subsp_vulgare	ln	2n	Diploid	Europe	France	Cultivated	.	Outgroup
B01_37_Root_07132017	B01.37.Root 7/13/17	B01_37_Root	B_Root	7/13/17	Root	Hordeum	Hordeum_vulgare_L_subsp_vulgare	ln	2n	Diploid	Europe	France	Cultivated	.	Outgroup
B01_37_Soil_07132017	B01.37.Soil 7/13/17	B01_37_Soil	B_Soil	7/13/17	Soil	Hordeum	Hordeum_vulgare_L_subsp_vulgare	ln	2n	Diploid	Europe	France	Cultivated	.	Outgroup
B03_24_Rh_07132017	B03 24 7/13 Rh	B03_24_Rh	B_Rh	7/13/17	Rhizosphere	Hordeum	Hordeum_vulgare_L_subsp_spontaneum_KKoch_Thell	ln	2n	Diploid	MiddleEast	Israel	Wild	.	Outgroup
B03_24_Root_07132017	B03.24.Root 7/13/17	B03_24_Root	B_Root	7/13/17	Root	Hordeum	Hordeum_vulgare_L_subsp_spontaneum_KKoch_Thell	ln	2n	Diploid	MiddleEast	Israel	Wild		Outgroup
B03_24_Soil_07132017	B03 24 7/13 soil	B03_24_Soil	B_Soil	7/13/17	Soil	Hordeum	Hordeum_vulgare_L_subsp_spontaneum_KKoch_Thell	ln	2n	Diploid	MiddleEast	Israel	Wild	.	Outgroup
B03_4_Rh_07132017	B03 4 7/13 Rh	B03_4_Rh	B_Rh	7/13/17	Rhizosphere	Hordeum	Hordeum_vulgare_L_subsp_spontaneum_KKoch_Thell	ln	2n	Diploid	MiddleEast	Israel	Wild	.	Outgroup
B03_4_Root_07132017	B03.4.Root 7/13/17	B03_4_Root	B_Root	7/13/17	Root	Hordeum	Hordeum_vulgare_L_subsp_spontaneum_KKoch_Thell	ln	2n	Diploid	MiddleEast	Israel	Wild		Outgroup
B03_4_Soil_07132017	B03.4.soil 7/13	B03_4_Soil	B_Soil	7/13/17	Soil	Hordeum	Hordeum_vulgare_L_subsp_spontaneum_KKoch_Thell	ln	2n	Diploid	MiddleEast	Israel	Wild	.	Outgroup
B03_46_Rh_07132017	B03 46 7/13 Rh	B03_46_Rh	B_Rh	7/13/17	Rhizosphere	Hordeum	Hordeum_vulgare_L_subsp_spontaneum_KKoch_Thell	ln	2n	Diploid	MiddleEast	Israel	Wild	.	Outgroup
B03_46_Root_07132017	B03.46.Root 7/13/17	B03_46_Root	B_Root	7/13/17	Root	Hordeum	Hordeum_vulgare_L_subsp_spontaneum_KKoch_Thell	ln	2n	Diploid	MiddleEast	Israel	Wild		Outgroup
