SampleID	TimePoint	Genotype	Group	Genus	Species	Block	Treatment	SampleType	Ploidy	Status	CountryOrigin	RegionOrigin	PloidyGroup	GenomeLineage
W01_28_W_RH	1	W01	W	Triticum	Triticum_turgidum_L_subsp_dicoccon_Schrank_Thell	28	Control	Rhizosphere	4n	Cultivated	India	Asia	Polyploid	AABB
W02_11_D_RH	1	W02	W	Triticum	Triticum_monococcum_L_subsp_monococcum	11	Drought	Rhizosphere	2n	Cultivated	Germany	Europe	Diploid	AA
W02_17_D_RH	1	W02	W	Triticum	Triticum_monococcum_L_subsp_monococcum	17	Drought	Rhizosphere	2n	Cultivated	Germany	Europe	Diploid	AA
W02_18_W_RH	1	W02	W	Triticum	Triticum_monococcum_L_subsp_monococcum	18	Control	Rhizosphere	2n	Cultivated	Germany	Europe	Diploid	AA
W02_23_W_RH	1	W02	W	Triticum	Triticum_monococcum_L_subsp_monococcum	23	Control	Rhizosphere	2n	Cultivated	Germany	Europe	Diploid	AA
W02_24_D_RH	1	W02	W	Triticum	Triticum_monococcum_L_subsp_monococcum	24	Drought	Rhizosphere	2n	Cultivated	Germany	Europe	Diploid	AA
W02_26_W_RH	1	W02	W	Triticum	Triticum_monococcum_L_subsp_monococcum	26	Control	Rhizosphere	2n	Cultivated	Germany	Europe	Diploid	AA
W02_27_D_RH	1	W02	W	Triticum	Triticum_monococcum_L_subsp_monococcum	27	Drought	Rhizosphere	2n	Cultivated	Germany	Europe	Diploid	AA
W02_28_W_RH	1	W02	W	Triticum	Triticum_monococcum_L_subsp_monococcum	28	Control	Rhizosphere	2n	Cultivated	Germany	Europe	Diploid	AA
W04_11_D_RH	1	W04	W	Triticum	Triticum_aestivum_L_subsp_macha_Dekapr_&_Menabde_Mackey	11	Drought	Rhizosphere	6n	Wild	Iran	MiddleEast	Polyploid	AABBDD
W04_18_W_RH	1	W04	W	Triticum	Triticum_aestivum_L_subsp_macha_Dekapr_&_Menabde_Mackey	18	Control	Rhizosphere	6n	Wild	Iran	MiddleEast	Polyploid	AABBDD
W04_23_D_RH	1	W04	W	Triticum	Triticum_aestivum_L_subsp_macha_Dekapr_&_Menabde_Mackey	23	Drought	Rhizosphere	6n	Wild	Iran	MiddleEast	Polyploid	AABBDD
W04_24_D_RH	1	W04	W	Triticum	Triticum_aestivum_L_subsp_macha_Dekapr_&_Menabde_Mackey	24	Drought	Rhizosphere	6n	Wild	Iran	MiddleEast	Polyploid	AABBDD
W04_25_D_RH	1	W04	W	Triticum	Triticum_aestivum_L_subsp_macha_Dekapr_&_Menabde_Mackey	25	Drought	Rhizosphere	6n	Wild	Iran	MiddleEast	Polyploid	AABBDD
W04_26_W_RH	1	W04	W	Triticum	Triticum_aestivum_L_subsp_macha_Dekapr_&_Menabde_Mackey	26	Control	Rhizosphere	6n	Wild	Iran	MiddleEast	Polyploid	AABBDD
W04_27_D_RH	1	W04	W	Triticum	Triticum_aestivum_L_subsp_macha_Dekapr_&_Menabde_Mackey	27	Drought	Rhizosphere	6n	Wild	Iran	MiddleEast	Polyploid	AABBDD
W04_28_W_RH	1	W04	W	Triticum	Triticum_aestivum_L_subsp_macha_Dekapr_&_Menabde_Mackey	28	Control	Rhizosphere	6n	Wild	Iran	MiddleEast	Polyploid	AABBDD
W11_11_D_RH	1	W11	W	Triticum	Triticum_turgidum_L_subsp_paleocolchicum_A_Love_&_D_Love	11	Drought	Rhizosphere	4n	Wild	England	Europe	Polyploid	AABB
W11_17_D_RH	1	W11	W	Triticum	Triticum_turgidum_L_subsp_paleocolchicum_A_Love_&_D_Love	17	Drought	Rhizosphere	4n	Wild	England	Europe	Polyploid	AABB
W11_18_W_RH	1	W11	W	Triticum	Triticum_turgidum_L_subsp_paleocolchicum_A_Love_&_D_Love	18	Control	Rhizosphere	4n	Wild	England	Europe	Polyploid	AABB
W11_23_W_RH	1	W11	W	Triticum	Triticum_turgidum_L_subsp_paleocolchicum_A_Love_&_D_Love	23	Control	Rhizosphere	4n	Wild	England	Europe	Polyploid	AABB
